id,internship_name,company,stipend,posted,portal,applied_date,call_back
2222261,Content Analytics,Meru Accounting,"₹ 5,000 /month",Today,internshala,2023-07-07,
2214085,Research Analyst,Virtue Market Research,"₹ 5,000 /month",unknown,internshala,2023-07-07,
2216007,Interactive Media Development,Sahil Shah,"₹ 5,000 /month",2 days ago,internshala,2023-07-07,
2217034,Teaching,Adira Leadership Academy,"₹ 5,000 /month",unknown,internshala,2023-07-07,
2218620,AWS DevOps,Mohite Consultancy Services (MCS),"₹ 5,000 /month",unknown,internshala,2023-07-07,
2217430,Python Development (Algorithmic Trading Strategy Development),Experiences.digital,"₹ 5,000 /month",unknown,internshala,2023-07-07,
2208443,Instrumentation And Control Engineering - SME For Calculatoratoz.com,Softusvista,"₹ 4,800 /month",unknown,internshala,2023-07-07,
2208424,Electronics Engineering - SME For Calculatoratoz.com,Softusvista,"₹ 4,800 /month",unknown,internshala,2023-07-07,
2208400,Electrical Engineering SME (For Calculatoratoz.com),Softusvista,"₹ 4,800 /month",unknown,internshala,2023-07-07,
2222668,React Native CLI Development,CloutNews,"₹ 5,000 /month",Today,internshala,2023-07-07,
2222409,NestJS Development (Node.js Backend),ResourcePlan,"₹ 5,000 /month",Today,internshala,2023-07-07,
2225713,WordPress Development,Trando Technologies,"₹ 5,000 /month",Today,internshala,2023-07-07,
2222782,Software Development/Blogging,Duolop Technologies Private Limited,"₹ 5,000 /month",2 days ago,internshala,2023-07-07,
2222451,PCB & IoT Development,Bogie Sauf Private Limited,"₹ 5,000 /month",Today,internshala,2023-07-07,
2215743,Electronics Engineering,IIITDM Kancheepuram,"₹ 5,000 /month",unknown,internshala,2023-07-07,
2222140,PHP Development,MeetUniversity,"₹ 5,000 /month",Today,internshala,2023-07-07,
2218432,Full Stack Development,My Mom's Love,"₹ 5,000 /month",unknown,internshala,2023-07-07,
2216681,Software Development Engineering/Testing,NextEdge Labs,"₹ 5,000 /month",unknown,internshala,2023-07-07,
2220729,Spring Boot & Angular Full Stack Development,Real IT Solutions,"₹ 5,000 /month",2 days ago,internshala,2023-07-07,
2220882,Software Development,Settyl,"₹ 5,000-8,000 /month",unknown,internshala,2023-07-07,
2219982,WordPress Development,Bunny Bash Events & Rentals,"₹ 5,000-8,000 /month",unknown,internshala,2023-07-07,
2223219,Blockchain Development,Hooman Digital LLP,"₹ 5,000-7,000 /month",2 days ago,internshala,2023-07-07,
2223212,Full Stack Development,Hooman Digital LLP,"₹ 5,000-7,000 /month",2 days ago,internshala,2023-07-07,
2215739,Video Making,Steamie Adventures Private Limited,"₹ 5,000-7,000 /month",unknown,internshala,2023-07-07,
